Team,Player,Runs,Balls,4s,6s,SR,Match Link
Kolkata Knight Riders,Quinton de Kock †,4,5,1,0,80.00,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Sunil Narine,44,26,5,3,169.23,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Ajinkya Rahane (c),56,31,6,4,180.64,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Venkatesh Iyer,6,7,1,0,85.71,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Angkrish Raghuvanshi,30,22,2,1,136.36,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Rinku Singh,12,10,1,0,120.00,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Andre Russell,4,3,1,0,133.33,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Ramandeep Singh,6,9,0,0,66.66,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Harshit Rana,5,6,1,0,83.33,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Spencer Johnson,1,1,0,0,100.00,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Royal Challengers Bengaluru,Phil Salt,56,31,9,2,180.64,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Royal Challengers Bengaluru,Virat Kohli,59,36,4,3,163.88,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Royal Challengers Bengaluru,Devdutt Padikkal,10,10,1,0,100.00,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Royal Challengers Bengaluru,Rajat Patidar (c),34,16,5,1,212.50,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Royal Challengers Bengaluru,Liam Livingstone,15,5,2,1,300.00,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Sunrisers Hyderabad,Abhishek Sharma,24,11,5,0,218.18,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Sunrisers Hyderabad,Travis Head,67,31,9,3,216.12,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Sunrisers Hyderabad,Ishan Kishan,106,47,11,6,225.53,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Sunrisers Hyderabad,Nitish Kumar Reddy,30,15,4,1,200.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Sunrisers Hyderabad,Heinrich Klaasen †,34,14,5,1,242.85,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Sunrisers Hyderabad,Aniket Verma,7,3,0,1,233.33,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Sunrisers Hyderabad,Abhinav Manohar,0,1,0,0,0.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Sunrisers Hyderabad,Pat Cummins (c),0,1,0,0,0.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Rajasthan Royals,Yashasvi Jaiswal,1,5,0,0,20.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Rajasthan Royals,Sanju Samson,66,37,7,4,178.37,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Rajasthan Royals,Riyan Parag (c),4,2,1,0,200.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Rajasthan Royals,Nitish Rana,11,8,2,0,137.50,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Rajasthan Royals,Dhruv Jurel †,70,35,5,6,200.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
