Team,Bowler,Overs,Maidens,Runs,Wickets,Economy,Match Link
Kolkata Knight Riders,Josh Hazlewood,4,0,22,2,5.50,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Yash Dayal,3,0,25,1,8.33,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Rasikh Salam,3,0,35,1,11.66,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Krunal Pandya,4,0,29,3,7.25,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Suyash Sharma,4,0,47,1,11.75,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Kolkata Knight Riders,Liam Livingstone,2,0,14,0,7.00,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Royal Challengers Bengaluru,Vaibhav Arora,3,0,42,1,14.00,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Royal Challengers Bengaluru,Spencer Johnson,2.2,0,31,0,13.28,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Royal Challengers Bengaluru,Varun Chakravarthy,4,0,43,1,10.75,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Royal Challengers Bengaluru,Harshit Rana,3,0,32,0,10.66,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Royal Challengers Bengaluru,Sunil Narine,4,0,27,1,6.75,https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard
Sunrisers Hyderabad,Fazalhaq Farooqi,3,0,49,0,16.33,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Sunrisers Hyderabad,Maheesh Theekshana,4,0,52,2,13.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Sunrisers Hyderabad,Jofra Archer,4,0,76,0,19.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Sunrisers Hyderabad,Sandeep Sharma,4,0,51,1,12.75,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Sunrisers Hyderabad,Nitish Rana,1,0,9,0,9.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Sunrisers Hyderabad,Tushar Deshpande,4,0,44,3,11.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Rajasthan Royals,Mohammed Shami,3,0,33,1,11.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Rajasthan Royals,Simarjeet Singh,3,0,46,2,15.33,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Rajasthan Royals,Pat Cummins,4,0,60,0,15.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Rajasthan Royals,Abhishek Sharma,2,0,17,0,8.50,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Rajasthan Royals,Adam Zampa,4,0,48,1,12.00,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Rajasthan Royals,Harshal Patel,4,0,34,2,8.50,https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard
Mumbai Indians,Khaleel Ahmed,4,0,29,3,7.25,https://www.espncricinfo.com/series/ipl-2025-1449924/chennai-super-kings-vs-mumbai-indians-3rd-match-1473440/full-scorecard
Mumbai Indians,Sam Curran,1,0,13,0,13.00,https://www.espncricinfo.com/series/ipl-2025-1449924/chennai-super-kings-vs-mumbai-indians-3rd-match-1473440/full-scorecard
Mumbai Indians,Nathan Ellis,4,0,38,1,9.50,https://www.espncricinfo.com/series/ipl-2025-1449924/chennai-super-kings-vs-mumbai-indians-3rd-match-1473440/full-scorecard
Mumbai Indians,Ravichandran Ashwin,4,0,31,1,7.75,https://www.espncricinfo.com/series/ipl-2025-1449924/chennai-super-kings-vs-mumbai-indians-3rd-match-1473440/full-scorecard
Mumbai Indians,Ravindra Jadeja,3,0,21,0,7.00,https://www.espncricinfo.com/series/ipl-2025-1449924/chennai-super-kings-vs-mumbai-indians-3rd-match-1473440/full-scorecard
Mumbai Indians,Noor Ahmad,4,0,18,4,4.50,https://www.espncricinfo.com/series/ipl-2025-1449924/chennai-super-kings-vs-mumbai-indians-3rd-match-1473440/full-scorecard
