TEAM,NAME,image,,,,,,,,,BATTING STYLE,BOWLING STYLE,PLAYING ROLE
Chennai Super Kings,MS Dhoni,,0,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', Bihar (now Jharkhand)',, 'AGE\n\n43y 364d',,Right hand Bat,Right arm Medium,Wicketkeeper Batter
Chennai Super Kings,Khaleel Ahmed,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',nil,, Rajasthan',, 'AGE\n\n27y 213d',,Right hand Bat,Left arm Fast medium,Bowler
Chennai Super Kings,C Andre Siddarth,,2,,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'PLAYING ROLE\n\nBatter',,Right hand Bat,not defined,Batter
Chennai Super Kings,Ravichandran Ashwin,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Tamil Nadu',, 'AGE\n\n38y 292d',,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Chennai Super Kings,Vansh Bedi,,3,,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'FIELDING POSITION\n\nWicketkeeper',,Right hand Bat,not defined,Wicketkeeper Batter
Chennai Super Kings,Dewald Brevis,,4,, 'PLAYING ROLE\n\nBatting Allrounder',, 'AGE\n\n22y 68d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Legbreak,Batting Allrounder
Chennai Super Kings,Devon Conway,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Medium',, Transvaal',, 'AGE\n\n33y 363d',,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Chennai Super Kings,Sam Curran,,5,, 'PLAYING ROLE\n\nAllrounder',, 'AGE\n\n27y 33d',,Left hand Bat,Left hand Bat,Left hand Bat,Left arm Medium fast,Allrounder
Chennai Super Kings,Shivam Dube,,6,, 'PLAYING ROLE\n\nAllrounder',, 'AGE\n\n32y 10d',,Left hand Bat,Left hand Bat,Left hand Bat,Right arm Medium,Allrounder
Chennai Super Kings,Nathan Ellis,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast medium',, New South Wales',, 'AGE\n\n30y 287d',,Right hand Bat,Right arm Fast medium,Bowler
Chennai Super Kings,Ruturaj Gaikwad,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Maharashtra',, 'AGE\n\n28y 156d',,Right hand Bat,Right arm Offbreak,Batter
Chennai Super Kings,Ramakrishna Ghosh,,nil,, 'PLAYING ROLE\n\nBowling Allrounder'],, 'AGE\n\n27y 312d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium fast ,Bowling Allrounder
Chennai Super Kings,Shreyas Gopal,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak',, Karnataka',, 'AGE\n\n31y 305d',,Right hand Bat,Legbreak,Allrounder
Chennai Super Kings,Gurjapneet Singh,,nil,,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLeft arm Medium fast',,Right hand Bat,Left arm Medium fast,Bowler
Chennai Super Kings,Deepak Hooda,,nil,, 'PLAYING ROLE\n\nAllrounder'],, 'AGE\n\n30y 78d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Offbreak,Allrounder
Chennai Super Kings,Ravindra Jadeja,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Saurashtra',, 'AGE\n\n36y 212d',,Left hand Bat,Slow Left arm Orthodox,Allrounder
Chennai Super Kings,Anshul Kamboj,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Haryana',, 'AGE\n\n24y 212d',,Right hand Bat,Right arm Medium,Allrounder
Chennai Super Kings,Ayush Mhatre,,1,,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',,Right hand Bat,Right arm Offbreak,Batting Allrounder
Chennai Super Kings,Mukesh Choudhary,,nil,,Left hand Bat,Left hand Bat, Bhilwara,, Rajsthan',,Left hand Bat,Left arm Medium ,Bowler
Chennai Super Kings,Kamlesh Nagarkoti,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast',, Rajasthan',, 'AGE\n\n25y 190d',,Right hand Bat,Right arm Fast,Bowler
Chennai Super Kings,Noor Ahmad,,nil,, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n20y 184d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Left arm Wrist spin ,Bowler
Chennai Super Kings,Jamie Overton,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast',, Devon',, 'AGE\n\n31y 87d',,Right hand Bat,Right arm Fast,Bowling Allrounder
Chennai Super Kings,Urvil Patel,,nil,, 'PLAYING ROLE\n\nWicketkeeper Batter'],, 'AGE\n\n26y 262d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,not defined,Wicketkeeper Batter
Chennai Super Kings,Matheesha Pathirana,, nil,, 'PLAYING ROLE\n\nBowler',, 'AGE\n\n22y 200d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast ,Bowler
Chennai Super Kings,Shaik Rasheed,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak',, Andhra Pradesh',, 'AGE\n\n20y 285d',,Right hand Bat,Legbreak,Batter
Chennai Super Kings,Rachin Ravindra,,1,, 'PLAYING ROLE\n\nBatting Allrounder'],, 'AGE\n\n25y 230d',,Left hand Bat,Left hand Bat,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Chennai Super Kings,Vijay Shankar,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Tamil Nadu',, 'AGE\n\n34y 161d',,Right hand Bat,Right arm Medium,Allrounder
Chennai Super Kings,Rahul Tripathi,,1,, 'PLAYING ROLE\n\nTop order Batter'],, 'AGE\n\n34y 126d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium,Top order Batter
Delhi Capitals,Axar Patel,,1,,Left hand Bat,Left hand Bat, Gujarat',, 'AGE\n\n31y 167d',,Left hand Bat,Slow Left arm Orthodox,Allrounder
Delhi Capitals,Faf du Plessis,,1,, 'PLAYING ROLE\n\nMiddle order Batter',, 'AGE\n\n40y 358d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Legbreak,Middle order Batter
