MATCH DATE,SCORECARD,GROUND,MATCH NO,TEAM 1,TEAM 2,WINNER,MARGIN
"Sat, 22 Mar '25",https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-1473438/full-scorecard,"Eden Gardens,",1st,Kolkata Knight Riders,Royal Challengers Bengaluru,RCB,won by 7 wickets (with 22 balls remaining)
"Sun, 23 Mar '25",https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-1473439/full-scorecard,"Hyderabad,",2nd,Sunrisers Hyderabad,Rajasthan Royals,SRH,won by 44 runs
"Sun, 23 Mar '25",https://www.espncricinfo.com/series/ipl-2025-1449924/chennai-super-kings-vs-mumbai-indians-3rd-match-1473440/full-scorecard,"Chennai,",3rd,Mumbai Indians,Chennai Super Kings,CSK,won by 4 wickets
"Mon, 24 Mar '25",https://www.espncricinfo.com/series/ipl-2025-1449924/delhi-capitals-vs-lucknow-super-giants-4th-match-1473441/full-scorecard,"Visakhapatnam,",4th,Delhi Capitals,Lucknow Super Giants,DC,won by 1 wicket (with 3 balls remaining)
"Tue, 25 Mar '25",https://www.espncricinfo.com/series/ipl-2025-1449924/gujarat-titans-vs-punjab-kings-5th-match-1473442/full-scorecard,"Ahmedabad,",5th,Punjab Kings,Gujarat Titans,PBKS,won by 11 runs
"Wed, 26 Mar '25",https://www.espncricinfo.com/series/ipl-2025-1449924/rajasthan-royals-vs-kolkata-knight-riders-6th-match-1473443/full-scorecard,"Guwahati,",6th,Kolkata Knight Riders,Rajasthan Royals,KKR,won by 8 wickets (with 15 balls remaining)
"Thu, 27 Mar '25",https://www.espncricinfo.com/series/ipl-2025-1449924/sunrisers-hyderabad-vs-lucknow-super-giants-7th-match-1473444/full-scorecard,"Hyderabad,",7th,Lucknow Super Giants,Sunrisers Hyderabad,LSG,won by 5 wickets (with 23 balls remaining)
"Fri, 28 Mar '25",https://www.espncricinfo.com/series/ipl-2025-1449924/chennai-super-kings-vs-royal-challengers-bengaluru-8th-match-1473445/full-scorecard,"Chennai,",8th,Royal Challengers Bengaluru,Chennai Super Kings,RCB,won by 50 runs
"Sat, 29 Mar '25",https://www.espncricinfo.com/series/ipl-2025-1449924/gujarat-titans-vs-mumbai-indians-9th-match-1473446/full-scorecard,"Ahmedabad,",9th,Gujarat Titans,Mumbai Indians,GT,won by 36 runs
"Sun, 30 Mar '25",https://www.espncricinfo.com/series/ipl-2025-1449924/delhi-capitals-vs-sunrisers-hyderabad-10th-match-1473447/full-scorecard,"Visakhapatnam,",10th,Delhi Capitals,Sunrisers Hyderabad,DC,won by 7 wickets (with 24 balls remaining)
"Sun, 30 Mar '25",https://www.espncricinfo.com/series/ipl-2025-1449924/rajasthan-royals-vs-chennai-super-kings-11th-match-1473448/full-scorecard,"Guwahati,",11th,Rajasthan Royals,Chennai Super Kings,RR,won by 6 runs
"Mon, 31 Mar '25",https://www.espncricinfo.com/series/ipl-2025-1449924/mumbai-indians-vs-kolkata-knight-riders-12th-match-1473449/full-scorecard,"Wankhede,",12th,Mumbai Indians,Kolkata Knight Riders,MI,won by 8 wickets (with 43 balls remaining)
"Tue, 01 Apr '25",https://www.espncricinfo.com/series/ipl-2025-1449924/lucknow-super-giants-vs-punjab-kings-13th-match-1473450/full-scorecard,"Lucknow,",13th,Punjab Kings,Lucknow Super Giants,PBKS,won by 8 wickets (with 22 balls remaining)
"Wed, 02 Apr '25",https://www.espncricinfo.com/series/ipl-2025-1449924/royal-challengers-bengaluru-vs-gujarat-titans-14th-match-1473451/full-scorecard,"Bengaluru,",14th,Gujarat Titans,Royal Challengers Bengaluru,GT,won by 8 wickets (with 13 balls remaining)
"Thu, 03 Apr '25",https://www.espncricinfo.com/series/ipl-2025-1449924/kolkata-knight-riders-vs-sunrisers-hyderabad-15th-match-1473452/full-scorecard,"Eden Gardens,",15th,Kolkata Knight Riders,Sunrisers Hyderabad,KKR,won by 80 runs
